Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
HBP,10.2,2021/12/23,16:00 EST,0.2699995,9.94,10.309,9.71,195685,,,,,,,
SCX,9.3,2021/12/23,16:00 EST,-0.019999504,9.27,9.3981,9.16,25401,,,,,,,
KTB,50.94,2021/12/23,16:00 EST,1.4799995,49.57,50.99,48.89,281162,,,,,,,
QRTEA,7.66,2021/12/23,16:00 EST,0.27999973,7.29,7.685,7.26,3829161,,,,,,,
TECK,28.29,2021/12/23,16:00 EST,0.24000168,28.12,28.465,28.05,1897298,,,,,,,
CHNG,21.35,2021/12/23,16:00 EST,0.40999985,20.91,21.38,20.91,2429713,,,,,,,
GRBK,29.88,2021/12/23,16:00 EST,0.0199986,29.86,30.1299,29.62,211473,,,,,,,
IMO,35.3,2021/12/23,16:00 EST,0.069999695,35.35,35.54,35.15,291134,,,,,,,
CNR,16.43,2021/12/23,16:00 EST,0.29000092,16.2,16.59,16.14,574279,,,,,,,
AEI,0.5936,2021/12/23,16:00 EST,-0.012400031,0.6096,0.6099,0.5811,972664,,,,,,,
EOG,87.18,2021/12/23,16:00 EST,-0.040000916,87.25,88.23,86.87,2458349,,,,,,,
9104.T,8430.0,2021/12/27,15:15 JST,60.0,8420.0,8520.0,8360.0,2844900,,,,,,,
BWA,43.62,2021/12/23,16:00 EST,0.579998,43.28,43.76,43.13,1178897,,,,,,,
CELH,74.6,2021/12/23,16:00 EST,3.709999,71.21,74.9673,69.52,650106,,,,,,,
EXPR,3.07,2021/12/23,16:00 EST,-0.06000018,3.16,3.16,3.05,1273225,,,,,,,
AUTO.OL,31.595,2021/12/27,15:00 CET,1.6199989,31.5,31.85,30.72,1175973,,,,,,,
AR,18.06,2021/12/23,16:00 EST,-0.050001144,18.11,18.4,17.95,3149527,,,,,,,
CHS,4.95,2021/12/23,16:00 EST,-0.01999998,5.03,5.035,4.8,950119,,,,,,,
AAPL,176.28,2021/12/23,16:00 EST,0.6399994,175.85,176.8499,175.28,68356867,,,,,,,
ACM,75.86,2021/12/23,16:00 EST,0.8199997,75.06,76.71,75.06,596683,,,,,,,
AIG,56.57,2021/12/23,16:00 EST,1.2999992,55.61,56.745,55.6,3980673,,,,,,,
AMZN,3421.37,2021/12/23,16:00 EST,0.63012695,3408.56,3439.5,3403.0,1839412,,,,,,,
ASML,801.41,2021/12/23,16:00 EST,9.289978,794.64,805.72,794.18,496784,,,,,,,
